reaction number,reaction,reaction rate
211,Tumor.[C{PD1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL2}{CD80}] + Tumor.[C15b=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL2}{CD80}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
212,Tumor.[C{PD1}{PDL2}{CD80}] -> Tumor.[C{PD1}{PDL2}{CD80}] + Tumor.[C15c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PD1}{PDL2}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
213,Tumor.[C{PDL1}] -> Tumor.[C{PDL1}] + Tumor.[C3=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
214,Tumor.[C{PDL1}{CD80}] -> Tumor.[C{PDL1}{CD80}] + Tumor.[C11a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{CD80}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
215,Tumor.[C{PDL1}{CD80}] -> Tumor.[C{PDL1}{CD80}] + Tumor.[C11b=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
216,Tumor.[C{PDL1}{PDL2}] -> Tumor.[C{PDL1}{PDL2}] + Tumor.[C8a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
217,Tumor.[C{PDL1}{PDL2}] -> Tumor.[C{PDL1}{PDL2}] + Tumor.[C8b=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
218,Tumor.[C{PDL1}{PDL2}{CD80}] -> Tumor.[C{PDL1}{PDL2}{CD80}] + Tumor.[C13a=PDL1],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}{CD80}]*([PDL1_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
219,Tumor.[C{PDL1}{PDL2}{CD80}] -> Tumor.[C{PDL1}{PDL2}{CD80}] + Tumor.[C13b=PDL2],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}{CD80}]*([PDL2_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
220,Tumor.[C{PDL1}{PDL2}{CD80}] -> Tumor.[C{PDL1}{PDL2}{CD80}] + Tumor.[C13c=CD80],[Exp_CD28/80/86/PD1/L1/L2]*Tumor.[C{PDL1}{PDL2}{CD80}]*([CD80_receptors_per_C_Cl]/[Avagadro's_Num])*([T_per_Cancer_Cell_Int]/[T_per_Cancer_Cell_max])
